competencia,codigo_uf,sigla_uf,estado,regiao,internacoes,permanencia_media,obitos,taxa_mortalidade,leitos_sus,populacao,internacoes_por_100k_hab,leitos_sus_por_10k_hab,internacoes_por_leito,variacao_mensal_internacoes_pct,tercil_pressao_assistencial
2025-12,50,MS,Mato Grosso do Sul,Centro-Oeste,16041,4.8,619,3.86,4033,2946317,544.44,13.69,3.977,-2.83,medio
2025-12,51,MT,Mato Grosso,Centro-Oeste,20484,4.4,593,2.89,6089,3950330,518.54,15.41,3.364,-3.04,medio
2025-12,52,GO,Goiás,Centro-Oeste,36327,4.6,1274,3.51,12050,7495033,484.68,16.08,3.015,-2.77,baixo
2025-12,53,DF,Distrito Federal,Centro-Oeste,20313,5.8,576,2.84,4913,3009996,674.85,16.32,4.135,2.92,alto
2026-01,11,RO,Rondônia,Norte,11443,5.2,349,3.05,4301,1757338,651.16,24.47,2.661,-0.1,alto
2026-01,12,AC,Acre,Norte,4774,4.8,142,2.97,1462,887794,537.74,16.47,3.265,5.46,medio
2026-01,13,AM,Amazonas,Norte,21748,4.4,681,3.13,5466,4360926,498.7,12.53,3.979,0.96,baixo
2026-01,14,RR,Roraima,Norte,2597,7.4,71,2.73,1332,761012,341.26,17.5,1.95,22.04,baixo
2026-01,15,PA,Pará,Norte,47344,4.3,1430,3.02,11411,8756324,540.68,13.03,4.149,-3.02,medio
2026-01,16,AP,Amapá,Norte,4938,4.8,114,2.31,1389,809953,609.67,17.15,3.555,0.78,alto
2026-01,17,TO,Tocantins,Norte,8884,4.7,389,4.38,2777,1595994,556.64,17.4,3.199,14.37,medio
2026-01,21,MA,Maranhão,Nordeste,40638,5.0,1197,2.95,13347,7024557,578.51,19.0,3.045,2.22,medio
2026-01,22,PI,Piauí,Nordeste,19531,4.8,678,3.47,6124,3392617,575.69,18.05,3.189,3.35,medio
2026-01,23,CE,Ceará,Nordeste,48637,5.8,2064,4.24,15964,9302211,522.85,17.16,3.047,1.08,medio
2026-01,24,RN,Rio Grande do Norte,Nordeste,17739,5.1,726,4.09,6215,3463737,512.13,17.94,2.854,0.75,baixo
2026-01,25,PB,Paraíba,Nordeste,20646,5.6,1062,5.14,7554,4182828,493.59,18.06,2.733,8.43,baixo
2026-01,26,PE,Pernambuco,Nordeste,51853,5.2,2300,4.44,16169,9583176,541.08,16.87,3.207,-6.77,medio
2026-01,27,AL,Alagoas,Nordeste,14177,6.1,704,4.97,5528,3221128,440.13,17.16,2.565,2.13,baixo
2026-01,28,SE,Sergipe,Nordeste,10224,5.7,539,5.27,2732,2307255,443.12,11.84,3.742,-1.12,baixo
2026-01,29,BA,Bahia,Nordeste,77927,4.7,2989,3.84,24857,14889472,523.37,16.69,3.135,1.37,medio
2026-01,31,MG,Minas Gerais,Sudeste,131186,4.8,6185,4.71,29233,21460311,611.3,13.62,4.488,2.98,alto
2026-01,32,ES,Espírito Santo,Sudeste,24807,5.0,1012,4.08,6061,4150692,597.66,14.6,4.093,-2.92,alto
2026-01,33,RJ,Rio de Janeiro,Sudeste,72939,5.8,4465,6.12,21035,17225410,423.44,12.21,3.468,-3.5,baixo
2026-01,35,SP,São Paulo,Sudeste,233322,5.2,12049,5.16,54770,46179008,505.26,11.86,4.26,3.13,baixo
2026-01,41,PR,Paraná,Sul,92271,4.1,3620,3.92,19404,11952456,771.98,16.23,4.755,4.65,alto
2026-01,42,SC,Santa Catarina,Sul,56756,4.1,2216,3.9,11761,8312759,682.76,14.15,4.826,3.18,alto
2026-01,43,RS,Rio Grande do Sul,Sul,69652,5.7,3508,5.04,20346,11233317,620.05,18.11,3.423,-1.21,alto
2026-01,50,MS,Mato Grosso do Sul,Centro-Oeste,17443,4.7,751,4.31,4040,2946317,592.03,13.71,4.318,8.74,alto
2026-01,51,MT,Mato Grosso,Centro-Oeste,21238,4.4,647,3.05,6108,3950330,537.63,15.46,3.477,3.68,medio
2026-01,52,GO,Goiás,Centro-Oeste,36102,4.7,1267,3.51,11996,7495033,481.68,16.01,3.01,-0.62,baixo
2026-01,53,DF,Distrito Federal,Centro-Oeste,19492,5.9,598,3.07,4957,3009996,647.58,16.47,3.932,-4.04,alto
2026-02,11,RO,Rondônia,Norte,11312,4.9,322,2.85,4304,1757338,643.7,24.49,2.628,-1.14,alto
2026-02,12,AC,Acre,Norte,4479,4.7,145,3.24,1470,887794,504.51,16.56,3.047,-6.18,medio
